# X, Y, Z, V, Ex, Ey, Ez
0.013 0 0.004 527.537 1720.46 -0.235135 -863.747
0.014 0 0.004 525.773 1801.52 -0.208847 -808.485
0.015 0 0.004 523.934 1872.25 -0.181471 -750.777
0.016 0 0.004 522.029 1932.25 -0.165223 -690.977
0.017 0 0.004 520.069 1981.15 -0.142667 -629.458
0.018 0 0.004 518.066 2018.7 -0.128599 -566.581
0.019 0 0.004 516.032 2044.7 -0.109367 -502.727
0.02 0 0.004 513.977 2059.02 -0.0951824 -438.254
0.021 0 0.004 511.914 2061.66 -0.08083 -373.541
0.022 0 0.004 509.854 2052.67 -0.0665116 -308.94
0.023 0 0.004 507.808 2032.17 -0.0515817 -244.804
0.024 0 0.004 505.789 2000.4 -0.0375871 -181.48
0.025 0 0.004 503.808 1957.58 -0.0241121 -119.301
0.026 0 0.004 501.874 1903.75 -0.0135322 -58.5925
0.027 0 0.004 500 940.677 6.21725e-15 -0.000893898
0.028 0 0.004 500 10.0228 7.56233e-05 0
0.029 0 0.004 499.987 12.1048 0.00144659 0.144208
0.03 0 0.004 499.976 10.8603 0.0166641 0.289179
0.031 0 0.004 499.966 9.1798 0.0112764 0.236333
0.032 0 0.004 499.957 7.1099 -0.0630916 0.500245
0.033 0 0.004 499.951 4.9508 0.0051472 0.385965
0.034 0 0.004 499.948 2.50528 -0.0311484 0.525274
0.035 0 0.004 499.946 0 0 0
-0.035 0 0.005 499.946 0 0 0
-0.034 0 0.005 499.947 -2.51936 0.000314969 0.743153
-0.033 0 0.005 499.951 -4.96709 0.00204696 0.692328
-0.032 0 0.005 499.957 -7.25489 0.0074946 0.602183
-0.031 0 0.005 499.965 -9.30102 0.00567508 0.485767
-0.03 0 0.005 499.975 -11.0196 0.00436003 0.343768
-0.029 0 0.005 499.987 -12.3009 0.00392387 0.179071
-0.028 0 0.005 500 -12.9001 4.66215e-05 0.000704248
-0.027 0 0.005 500 -978.994 0 0
-0.026 0 0.005 501.937 -1973.9 -0.000629392 -74.3813
-0.025 0 0.005 503.94 -2027.34 -0.00450559 -151.256
-0.024 0 0.005 505.992 -2071.09 -0.0106169 -229.979
-0.023 0 0.005 508.082 -2103.82 -0.0187647 -310.123
-0.022 0 0.005 510.2 -2124.98 -0.0299877 -391.241
-0.021 0 0.005 512.332 -2134.27 -0.0433832 -472.877
-0.02 0 0.005 514.468 -2131.54 -0.0624172 -554.574
-0.019 0 0.005 516.595 -2116.71 -0.0837774 -635.873
-0.018 0 0.005 518.702 -2089.81 -0.104839 -716.322
-0.017 0 0.005 520.775 -2050.94 -0.131074 -795.466
-0.016 0 0.005 522.804 -2000.32 -0.15677 -872.862
-0.015 0 0.005 524.776 -1938.21 -0.185839 -948.063
-0.014 0 0.005 526.68 -1864.99 -0.212131 -1020.64
-0.013 0 0.005 528.506 -1781.06 -0.238959 -1090.16
-0.012 0 0.005 530.242 -1686.92 -0.265494 -1156.21
-0.011 0 0.005 531.879 -1583.11 -0.286447 -1218.4
-0.01 0 0.005 533.408 -1470.2 -0.309279 -1276.36
-0.009 0 0.005 534.82 -1348.83 -0.330611 -1329.75
-0.008 0 0.005 536.106 -1219.67 -0.352243 -1378.26
-0.007 0 0.005 537.259 -1083.44 -0.372052 -1421.63
-0.006 0 0.005 538.273 -940.892 -0.383722 -1459.62
-0.005 0 0.005 539.141 -792.823 -0.406267 -1492.05
-0.004 0 0.005 539.858 -640.081 -0.425527 -1518.78
-0.003 0 0.005 540.421 -483.553 -0.434591 -1539.68
-0.002 0 0.005 540.826 -324.14 -0.44596 -1554.67
-0.001 0 0.005 541.069 -162.787 -0.455279 -1563.71
0 0 0.005 541.151 -0.458495 -0.458495 -1566.78
0.001 0 0.005 541.07 161.875 -0.459274 -1563.85
0.002 0 0.005 540.827 323.241 -0.454133 -1554.94
0.003 0 0.005 540.424 482.682 -0.445241 -1540.09
0.004 0 0.005 539.862 639.261 -0.434945 -1519.34
0.005 0 0.005 539.145 792.069 -0.422933 -1492.77
0.006 0 0.005 538.278 940.226 -0.411589 -1460.48
0.007 0 0.005 537.265 1082.88 -0.392846 -1422.62
0.008 0 0.005 536.112 1219.24 -0.371817 -1379.36
0.009 0 0.005 534.826 1348.54 -0.356516 -1330.91
0.01 0 0.005 533.415 1470.05 -0.340926 -1277.53
0.011 0 0.005 531.886 1583.09 -0.316846 -1219.53
0.012 0 0.005 530.249 1687.02 -0.289142 -1157.25
0.013 0 0.005 528.512 1781.27 -0.273072 -1091.05
0.014 0 0.005 526.686 1865.29 -0.251566 -1021.34
0.015 0 0.005 524.782 1938.58 -0.227472 -948.543
0.016 0 0.005 522.809 2000.73 -0.20813 -873.106
0.017 0 0.005 520.78 2051.38 -0.181394 -795.482
0.018 0 0.005 518.706 2090.25 -0.160385 -716.126
0.019 0 0.005 516.6 2117.16 -0.133971 -635.514
0.02 0 0.005 514.472 2131.98 -0.112828 -554.094
0.021 0 0.005 512.336 2134.7 -0.0917369 -472.336
0.022 0 0.005 510.203 2125.39 -0.0724288 -390.697
0.023 0 0.005 508.085 2104.19 -0.0547492 -309.624
0.024 0 0.005 505.994 2071.32 -0.0380354 -229.548
0.025 0 0.005 503.942 2027.05 -0.0243988 -150.843
0.026 0 0.005 501.94 1971.15 -0.0131958 -73.5722
0.027 0 0.005 500 973.876 7.10543e-15 0.0143555
0.028 0 0.005 500 10.2117 -0.000108155 0
0.029 0 0.005 499.987 12.3012 -0.0102342 0.132089
0.03 0 0.005 499.975 10.996 -0.0406933 0.374336
0.031 0 0.005 499.965 9.3057 0.0153141 0.399045
0.032 0 0.005 499.957 7.20282 -0.0310031 0.601334
0.033 0 0.005 499.951 4.91867 -0.00597598 0.639633
0.034 0 0.005 499.947 2.5141 -0.0175164 0.662779
0.035 0 0.005 499.946 0 0 0
-0.035 0 0.006 499.945 0 0 0
-0.034 0 0.006 499.946 -2.55703 -0.00530451 0.894252
-0.033 0 0.006 499.95 -5.04152 -0.00439236 0.833579
-0.032 0 0.006 499.956 -7.36986 0.00327913 0.730215
-0.031 0 0.006 499.965 -9.44512 0.00328028 0.587199
-0.03 0 0.006 499.975 -11.1881 0.00226381 0.415028
-0.029 0 0.006 499.987 -12.4893 0.00295843 0.216261
-0.028 0 0.006 500 -13.097 3.53132e-05 0.000850144
-0.027 0 0.006 500 -1020.4 0 0
-0.026 0 0.006 502.02 -2057.73 0.00683525 -90.5175
-0.025 0 0.006 504.108 -2113.4 0.0112291 -184.067
-0.024 0 0.006 506.246 -2158.96 0.0137068 -279.861
-0.023 0 0.006 508.425 -2193.01 0.0134683 -377.378
-0.022 0 0.006 510.632 -2214.99 0.00938213 -476.073
-0.021 0 0.006 512.855 -2224.61 0.00151184 -575.389
-0.02 0 0.006 515.082 -2221.68 -0.0153071 -674.767
-0.019 0 0.006 517.299 -2206.16 -0.0369574 -773.652
-0.018 0 0.006 519.494 -2178.06 -0.0641898 -871.486
-0.017 0 0.006 521.655 -2137.5 -0.100005 -967.722
-0.016 0 0.006 523.769 -2084.69 -0.141762 -1061.82
-0.015 0 0.006 525.824 -2019.91 -0.19168 -1153.23
-0.014 0 0.006 527.809 -1943.54 -0.243669 -1241.43
-0.013 0 0.006 529.711 -1856.01 -0.300742 -1325.92
-0.012 0 0.006 531.521 -1757.81 -0.358712 -1406.18
-0.011 0 0.006 533.227 -1649.53 -0.412027 -1481.74
-0.01 0 0.006 534.82 -1531.75 -0.465256 -1552.17
-0.009 0 0.006 536.29 -1405.16 -0.511003 -1617.04
-0.008 0 0.006 537.63 -1270.46 -0.553333 -1675.98
-0.007 0 0.006 538.831 -1128.41 -0.583066 -1728.68
-0.006 0 0.006 539.887 -979.822 -0.596573 -1774.85
-0.005 0 0.006 540.791 -825.523 -0.610478 -1814.27
-0.004 0 0.006 541.538 -666.405 -0.610077 -1846.74
-0.003 0 0.006 542.124 -503.392 -0.595035 -1872.14
-0.002 0 0.006 542.545 -337.421 -0.573473 -1890.35
-0.001 0 0.006 542.799 -169.464 -0.545153 -1901.31
0 0 0.006 542.884 -0.511232 -0.511232 -1904.99
0.001 0 0.006 542.8 168.445 -0.475157 -1901.38
0.002 0 0.006 542.547 336.41 -0.43899 -1890.48
0.003 0 0.006 542.127 502.402 -0.404763 -1872.34
0.004 0 0.006 541.542 665.459 -0.375944 -1847.04
0.005 0 0.006 540.796 824.643 -0.356422 -1814.65
0.006 0 0.006 539.893 979.038 -0.345225 -1775.33
0.007 0 0.006 538.838 1127.76 -0.333697 -1729.25
0.008 0 0.006 537.637 1269.95 -0.325573 -1676.63
0.009 0 0.006 536.298 1404.83 -0.325329 -1617.73
0.01 0 0.006 534.828 1531.61 -0.32612 -1552.88
0.011 0 0.006 533.235 1649.56 -0.31824 -1482.43
0.012 0 0.006 531.529 1758.02 -0.304611 -1406.8
0.013 0 0.006 529.719 1856.37 -0.298653 -1326.44
0.014 0 0.006 527.816 1944.02 -0.282926 -1241.82
0.015 0 0.006 525.831 2020.48 -0.262309 -1153.45
0.016 0 0.006 523.775 2085.31 -0.240647 -1061.86
0.017 0 0.006 521.66 2138.13 -0.211786 -967.603
